oln_id	overexpression_toxic	essential	periodically_expressed	uniprot_acc	gene_name	description	synonyms
YOL077C	0	1	0	Q08235	BRX1	Ribosome biogenesis protein BRX1	NA
YOL078W	0	1	0	Q08236	AVO1	Target of rapamycin complex 2 subunit AVO1	NA
YOL080C	1	0	0	Q08237	REX4	RNA exonuclease 4	NA
YOL084W	1	0	0	Q12252	PHM7	Phosphate metabolism protein 7	NA
YOL090W	0	0	1	P25847	MSH2	DNA mismatch repair protein MSH2	NA
YOL092W	1	0	0	Q12010	YPQ1	Probable vacuolar amino acid transporter YPQ1	NA
YOL094C	0	1	0	P40339	RFC4	Replication factor C subunit 4	NA
YOL097C	0	1	0	Q12109	WRS1	Tryptophan--tRNA ligase, cytoplasmic	NA
YOL101C	0	0	1	Q99393	IZH4	ADIPOR-like receptor IZH4	NA
YOL102C	0	1	0	Q12272	TPT1	tRNA 2'-phosphotransferase	NA
YOL104C	1	0	0	Q12366	NDJ1	Non-disjunction protein 1	TAM1
YOL112W	1	0	0	Q12317	MSB4	GTPase-activating protein MSB4	NA
YOL120C	0	1	0	P0CX49	RPL18A	60S ribosomal protein L18-A	RP28A
YOL123W	1	1	0	Q99383	HRP1	Nuclear polyadenylated RNA-binding protein 4	NAB4;NAB5
YOL124C	1	0	1	Q12463	TRM11	tRNA (guanine(10)-N2)-methyltransferase	NA
YOL127W	0	1	0	P04456	RPL25	60S ribosomal protein L25	NA
YOL130W	1	1	0	Q08269	ALR1	Magnesium transporter ALR1	NA
YOL133W	0	1	0	Q08273	HRT1	RING-box protein HRT1	RBX1;ROC1
YOL134C	0	1	0	Q08272	NA	Putative uncharacterized protein YOL134C precursor	NA
YOL135C	0	1	0	Q08278	MED7	Mediator of RNA polymerase II transcription subunit 7	NA
YOL138C	1	0	0	Q08281	RTC1	Restriction of telomere capping protein 1	SEA2
YOL139C	0	1	0	P07260	CDC33	Eukaryotic translation initiation factor 4E	TIF45
YOL144W	0	1	1	Q08287	NOP8	60S ribosome subunit biogenesis protein NOP8	NA
YOL146W	0	1	0	Q12146	PSF3	DNA replication complex GINS protein PSF3	NA
YOL147C	1	0	0	Q12462	PEX11	Peroxisomal membrane protein PMP27	PMP24;PMP27
YOL149W	0	1	0	Q12517	DCP1	mRNA-decapping enzyme subunit 1	NA
YOL154W	0	0	1	Q12512	ZPS1	Protein ZPS1 precursor	NA
YOL158C	0	0	1	Q08299	ENB1	Siderophore iron transporter ENB1	ARN4
YOL159C-A	0	0	1	Q3E769	NA	Uncharacterized protein YOL159C-A	NA
YOR001W	0	0	1	Q12149	RRP6	Exosome complex exonuclease RRP6	UNC733
YOR004W	0	1	0	Q12339	UTP23	rRNA-processing protein UTP23	NA
YOR008C	1	0	1	P54867	SLG1	Protein SLG1 precursor	WSC1
YOR018W	0	0	1	Q02805	ROD1	Protein ROD1	NA
YOR020C	0	1	0	P38910	HSP10	10 kDa heat shock protein, mitochondrial	CPN10
YOR023C	0	0	1	Q12433	AHC1	Protein AHC1	NA
YOR025W	0	0	1	P53687	HST3	NAD-dependent histone deacetylase HST3	NA
YOR029W	1	0	0	Q12243	NA	Putative uncharacterized protein YOR029W	NA
YOR030W	1	0	0	Q99234	DFG16	Protein DFG16	ECM41;ZRG11
YOR032C	1	0	0	Q12398	HMS1	Probable transcription factor HMS1	NA
YOR033C	0	0	1	P39875	EXO1	Exodeoxyribonuclease 1	DHS1
YOR036W	1	0	0	P32854	PEP12	Syntaxin PEP12	VPS6;VPT13
YOR046C	0	1	0	P20449	DBP5	ATP-dependent RNA helicase DBP5	RAT8
YOR048C	1	1	0	Q02792	RAT1	5'-3' exoribonuclease 2	HKE1;TAP1
YOR049C	0	0	1	Q08417	RSB1	Sphingoid long-chain base transporter RSB1	NA
YOR056C	0	1	1	Q08444	NOB1	20S-pre-rRNA D-site endonuclease NOB1	NA
YOR057W	0	1	0	Q08446	SGT1	Protein SGT1 {ECO:0000303|PubMed:10445024, ECO:0000303|PubMed:12456005}	NA
YOR058C	0	0	1	P50275	ASE1	Anaphase spindle elongation protein	NA
YOR060C	0	1	0	Q08457	SLD7	Mitochondrial morphogenesis protein SLD7	NA
YOR062C	1	0	0	P36025	NA	Uncharacterized protein YOR062C	NA
YOR063W	0	1	0	P14126	RPL3	60S ribosomal protein L3	MAK8;TCM1
YOR064C	0	0	1	Q08465	YNG1	Protein YNG1	NA
YOR066W	1	0	1	Q08471	MSA1	G1-specific transcription factors activator MSA1	NA
YOR073W	0	0	1	Q08490	SGO1	Shugoshin	NA
YOR074C	0	1	1	P06785	CDC21	Thymidylate synthase	CRT9;TMP1
YOR075W	0	1	0	P41834	UFE1	Syntaxin UFE1	NA
YOR077W	0	1	0	P40962	RTS2	Zinc finger protein RTS2	NA
YOR079C	1	0	0	Q12067	ATX2	Metal homeostasis factor ATX2	NA
YOR081C	0	0	1	Q12043	TGL5	Lipase 5	STC2
YOR083W	0	0	1	Q12416	WHI5	G1-specific transcriptional repressor WHI5	NA
YOR084W	0	0	1	Q12405	LPX1	Peroxisomal membrane protein LPX1	NA
YOR090C	1	0	0	Q12511	PTC5	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial precursor	PPP1
YOR095C	0	1	0	Q12189	RKI1	Ribose-5-phosphate isomerase	NA
YOR096W	1	0	0	P26786	RPS7A	40S ribosomal protein S7-A	RPS30
YOR098C	1	1	0	P20676	NUP1	Nucleoporin NUP1	NA
YOR101W	0	0	1	P01119	RAS1	Ras-like protein 1 precursor	NA
YOR102W	0	1	0	Q08503	NA	Putative uncharacterized protein YOR102W	NA
YOR103C	0	1	0	P46964	OST2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2	NA
YOR104W	0	0	1	Q12057	PIN2	[PSI+] induction protein 2	NA
YOR105W	0	0	1	Q08504	NA	Uncharacterized protein YOR105W	NA
YOR106W	1	0	0	Q12241	VAM3	Syntaxin VAM3	PTH1
YOR114W	0	0	1	Q12219	NA	Uncharacterized protein YOR114W	NA
YOR116C	0	1	0	P04051	RPO31	DNA-directed RNA polymerase III subunit RPC1	RPC1;RPC160
YOR117W	0	1	0	P33297	RPT5	26S protease regulatory subunit 6A	YTA1
YOR119C	0	1	0	Q12196	RIO1	Serine/threonine-protein kinase RIO1	RRP10
YOR122C	0	1	0	P07274	PFY1	Profilin	PFY;PRF1
YOR126C	0	0	1	P41734	IAH1	Isoamyl acetate-hydrolyzing esterase	EST2
YOR127W	0	0	1	P39083	RGA1	Rho-type GTPase-activating protein 1	DBM1;THE1
YOR129C	0	0	1	Q99222	AFI1	ARF3-interacting protein 1	NA
YOR133W	1	0	0	P32324	EFT1	Elongation factor 2	NA
YOR143C	0	1	0	P35202	THI80	Thiamine pyrophosphokinase	NA
YOR144C	0	0	1	Q12050	ELG1	Telomere length regulation protein ELG1	RTT110
YOR146W	0	1	0	Q08533	NA	Putative uncharacterized protein YOR146W	NA
YOR148C	0	1	0	Q02521	SPP2	Pre-mRNA-splicing factor SPP2	NA
YOR149C	0	1	0	Q04174	SMP3	GPI mannosyltransferase 4	LAS2;SAP2
YOR151C	1	1	0	P08518	RPB2	DNA-directed RNA polymerase II subunit RPB2	RPB150;RPO22
YOR157C	0	1	0	P25043	PUP1	Proteasome subunit beta type-2 precursor	NA
YOR159C	0	1	0	Q12330	SME1	Small nuclear ribonucleoprotein E	NA
YOR160W	0	1	0	Q99189	MTR10	mRNA transport regulator MTR10	NA
YOR162C	1	0	0	Q12172	YRR1	Zinc finger transcription factor YRR1	PDR2
YOR168W	1	1	0	P13188	GLN4	Glutamine--tRNA ligase	NA
YOR169C	0	1	0	Q08540	NA	Putative uncharacterized protein YOR169C	NA
YOR170W	1	0	0	Q08543	NA	Putative uncharacterized protein YOR170W	NA
YOR173W	1	0	0	Q12123	DCS2	Inactive diphosphatase DCS2	NA
YOR174W	0	1	0	Q12343	MED4	Mediator of RNA polymerase II transcription subunit 4	NA
YOR176W	0	1	1	P16622	HEM15	Ferrochelatase, mitochondrial precursor	NA
YOR181W	1	1	0	Q12446	LAS17	Proline-rich protein LAS17	NA
YOR185C	1	0	0	P32836	GSP2	GTP-binding nuclear protein GSP2/CNR2	CNR2
YOR188W	1	0	0	P21339	MSB1	Morphogenesis-related protein MSB1	NA
YOR194C	0	1	0	P32773	TOA1	Transcription initiation factor IIA large subunit	NA
YOR195W	0	0	1	Q08581	SLK19	Kinetochore protein SLK19	NA
YOR203W	0	1	0	Q08621	NA	Putative uncharacterized protein YOR203W	NA
YOR204W	0	1	0	P06634	DED1	ATP-dependent RNA helicase DED1	SPP81
YOR206W	0	1	0	P39744	NOC2	Nucleolar complex protein 2	NA
YOR207C	1	1	0	P22276	RET1	DNA-directed RNA polymerase III subunit RPC2	RPC128;RPC2
YOR210W	0	1	0	P22139	RPB10	DNA-directed RNA polymerases I, II, and III subunit RPABC5	NA
YOR211C	1	0	0	P32266	MGM1	Dynamin-like GTPase MGM1, mitochondrial precursor	MDM17
YOR212W	1	0	0	P18851	STE4	Guanine nucleotide-binding protein subunit beta	NA
YOR217W	0	1	0	P38630	RFC1	Replication factor C subunit 1	CDC44
YOR218C	0	1	0	Q12249	NA	Putative uncharacterized protein YOR218C	NA
YOR224C	0	1	0	P20436	RPB8	DNA-directed RNA polymerases I, II, and III subunit RPABC3	NA
YOR228C	1	0	1	Q12106	MCP1	MDM10-complementing protein 1 {ECO:0000303|PubMed:23781023}	NA
YOR229W	1	0	1	Q12206	WTM2	Transcriptional modulator WTM2	NA
YOR232W	0	1	0	P38523	MGE1	GrpE protein homolog, mitochondrial precursor	GRPE;GRPE1;YGE1
YOR233W	1	0	0	Q01919	KIN4	Serine/threonine-protein kinase KIN4	KIN3;KIN31
YOR236W	0	1	0	P07807	DFR1	Dihydrofolate reductase	NA
YOR244W	0	1	0	Q08649	ESA1	Histone acetyltransferase ESA1	NA
YOR249C	0	1	0	Q08683	APC5	Anaphase-promoting complex subunit 5	RMC1
YOR250C	0	1	0	Q08685	CLP1	mRNA cleavage and polyadenylation factor CLP1 {ECO:0000255|HAMAP-Rule:MF_03035}	NA
YOR254C	0	1	0	P14906	SEC63	Protein translocation protein SEC63	NPL1;PTL1
YOR256C	0	1	0	Q08693	TRE2	Putative zinc metalloprotease TRE2	NA
YOR257W	1	1	0	P06704	CDC31	Cell division control protein 31	DSK1
YOR259C	0	1	0	P53549	RPT4	26S protease subunit RPT4	CRL13;PCS1;SUG2
YOR260W	0	1	0	P09032	GCD1	Translation initiation factor eIF-2B subunit gamma	TIF223;TRA3
YOR261C	0	1	0	Q08723	RPN8	26S proteasome regulatory subunit RPN8	NA
YOR262W	0	1	1	Q08726	GPN2	GPN-loop GTPase 2 {ECO:0000303|PubMed:21532343}	NA
YOR264W	0	0	1	Q08729	DSE3	Protein DSE3	NA
YOR271C	1	0	0	Q12029	FSF1	Probable mitochondrial transport protein FSF1	NA
YOR272W	1	1	0	Q12024	YTM1	Ribosome biogenesis protein YTM1 {ECO:0000255|HAMAP-Rule:MF_03029}	ECO:0000303|Ref.1}
YOR273C	0	0	1	Q12256	TPO4	Polyamine transporter 4	NA
YOR274W	0	0	1	P07884	MOD5	tRNA dimethylallyltransferase, mitochondrial	NA
YOR278W	1	1	0	P06174	HEM4	Uroporphyrinogen-III synthase	ORF1
YOR281C	1	1	0	Q12017	PLP2	Phosducin-like protein 2	VIAF1 {ECO:0000312|EMBL:AAG21890.1}
YOR282W	0	1	0	Q08741	NA	Putative uncharacterized protein YOR282W	NA
YOR284W	0	0	1	Q12134	HUA2	Protein HUA2	NA
YOR287C	0	1	0	Q12481	RRP36	rRNA biogenesis protein RRP36	NA
YOR288C	0	0	1	Q12404	MPD1	Protein disulfide-isomerase MPD1 precursor	NA
YOR294W	0	1	0	Q08746	RRS1	Regulator of ribosome biosynthesis	NA
YOR306C	1	0	0	Q08777	MCH5	Riboflavin transporter MCH5	NA
YOR307C	1	0	0	P22215	SLY41	Uncharacterized transporter SLY41	NA
YOR309C	1	0	0	Q12444	NA	Putative uncharacterized protein YOR309C	NA
YOR310C	0	1	0	Q12499	NOP58	Nucleolar protein 58	NOP5
YOR313C	1	0	1	P09937	SPS4	Sporulation-specific protein 4	NA
YOR315W	0	0	1	Q12507	SFG1	Superficial pseudohyphal growth protein 1	NA
YOR319W	0	1	1	Q99181	HSH49	Protein HSH49	NA
YOR321W	0	0	1	P47190	PMT3	Dolichyl-phosphate-mannose--protein mannosyltransferase 3 {ECO:0000305}	NA
YOR326W	0	1	0	P19524	MYO2	Myosin-2	CDC66
YOR329C	1	1	0	P34758	SCD5	Protein SCD5	FTB1
YOR331C	1	0	0	Q08786	NA	Putative uncharacterized membrane protein YOR331C	NA
YOR335C	1	1	0	P40825	ALA1	Alanine--tRNA ligase, mitochondrial {ECO:0000255|HAMAP-Rule:MF_03133} precursor	CDC64
YOR336W	0	1	0	P22023	KRE5	Killer toxin-resistance protein 5 precursor	NA
YOR340C	0	1	0	P46669	RPA43	DNA-directed RNA polymerase I subunit RPA43	RRN12
YOR341W	0	1	0	P10964	RPA190	DNA-directed RNA polymerase I subunit RPA190	RPA1;RRN1
YOR342C	0	0	1	Q12182	NA	Uncharacterized protein YOR342C	NA
YOR346W	0	0	1	P12689	REV1	DNA repair protein REV1	NA
YOR347C	0	0	1	P52489	PYK2	Pyruvate kinase 2	NA
YOR348C	1	0	0	P15380	PUT4	Proline-specific permease	NA
YOR353C	0	1	0	Q08817	SOG2	Leucine-rich repeat-containing protein SOG2	NA
YOR355W	1	0	0	P41913	GDS1	Protein GDS1	NA
YOR360C	1	0	0	P06776	PDE2	3',5'-cyclic-nucleotide phosphodiesterase 2	SRA5
YOR361C	0	1	0	P06103	PRT1	Eukaryotic translation initiation factor 3 subunit B {ECO:0000255|HAMAP-Rule:MF_03001}	CDC63
YOR362C	0	1	0	P21242	PRE10	Probable proteasome subunit alpha type-7	PRC1;PRS1
YOR368W	0	0	1	P48581	RAD17	DNA damage checkpoint control protein RAD17	NA
YOR370C	0	1	0	P32864	MRS6	Rab proteins geranylgeranyltransferase component A	MSI4
YOR372C	1	1	1	Q08887	NDD1	Nuclear division defective protein 1	NA
YOR373W	0	1	1	P32336	NUD1	Protein NUD1	NA
YOR374W	0	0	1	P46367	ALD4	Potassium-activated aldehyde dehydrogenase, mitochondrial precursor	ALD7;ALDH2
YOR377W	1	0	0	P40353	ATF1	Alcohol O-acetyltransferase 1	NA
YOR381W	1	0	0	Q08905	FRE3	Ferric reductase transmembrane component 3 precursor	NA
YOR386W	1	0	0	P05066	PHR1	Deoxyribodipyrimidine photo-lyase, mitochondrial precursor	NA
YOR390W	1	0	0	Q08913	NA	UPF0695 membrane protein YOR390W	NA
YPL007C	0	1	0	Q12308	TFC8	Transcription factor tau 60 kDa subunit	NA
YPL008W	1	0	0	P22516	CHL1	ATP-dependent DNA helicase CHL1	CTF1
YPL010W	0	1	0	P53600	RET3	Coatomer subunit zeta	NA
YPL011C	0	1	0	Q12297	TAF3	Transcription initiation factor TFIID subunit 3	TAF47
YPL012W	1	1	0	Q12754	RRP12	Ribosomal RNA-processing protein 12	NA
YPL014W	0	0	1	Q02606	NA	Uncharacterized protein YPL014W	NA
YPL016W	0	1	0	P09547	SWI1	SWI/SNF chromatin-remodeling complex subunit SWI1	ADR6;GAM3
YPL019C	1	0	0	Q02725	VTC3	Vacuolar transporter chaperone 3	PHM2
YPL020C	0	1	0	Q02724	ULP1	Ubiquitin-like-specific protease 1	NA
YPL026C	1	0	0	Q12505	SKS1	Serine/threonine-protein kinase SKS1	SHA3
YPL028W	0	1	0	P41338	ERG10	Acetyl-CoA acetyltransferase	NA
YPL032C	0	0	1	Q03088	SVL3	Styryl dye vacuolar localization protein 3	NA
YPL038W	1	0	0	Q03081	MET31	Transcriptional regulator MET31	NA
YPL043W	0	1	0	P37838	NOP4	Nucleolar protein 4	NOP77
YPL044C	0	1	0	O13520	NA	Putative uncharacterized protein YPL044C	NA
YPL054W	1	0	0	Q02799	LEE1	Zinc finger protein LEE1	NA
YPL057C	0	0	1	P33300	SUR1	Mannosyl phosphorylinositol ceramide synthase SUR1	BCL21;CSG1;LPE15
YPL058C	1	0	1	Q02785	PDR12	ATP-dependent permease PDR12	NA
YPL061W	0	0	1	P54115	ALD6	Magnesium-activated aldehyde dehydrogenase, cytosolic	ALDH1
YPL063W	0	1	0	Q02776	TIM50	Mitochondrial import inner membrane translocase subunit TIM50 precursor	NA
YPL075W	0	1	0	P07261	GCR1	Glycolytic genes transcriptional activator GCR1	SIT3
YPL076W	0	1	0	P46961	GPI2	Phosphatidylinositol N-acetylglucosaminyltransferase GPI2 subunit	GCR4
YPL079W	1	0	0	Q12672	RPL21B	60S ribosomal protein L21-B	NA
YPL082C	0	1	0	P32333	MOT1	TATA-binding protein-associated factor MOT1	NA
YPL083C	0	1	0	Q02825	SEN54	tRNA-splicing endonuclease subunit SEN54	NA
YPL085W	0	1	0	P48415	SEC16	COPII coat assembly protein SEC16	NA
YPL093W	0	1	0	Q02892	NOG1	Nucleolar GTP-binding protein 1	NA
YPL094C	0	1	0	P21825	SEC62	Translocation protein SEC62	NA
YPL109C	1	0	0	Q02981	NA	ABC1 family protein YPL109C, mitochondrial precursor	NA
YPL116W	0	0	1	Q02959	HOS3	Histone deacetylase HOS3	NA
YPL117C	0	1	0	P15496	IDI1	Isopentenyl-diphosphate Delta-isomerase	BOT2
YPL122C	0	1	0	Q02939	TFB2	RNA polymerase II transcription factor B subunit 2	NA
YPL124W	1	1	1	P33419	SPC29	Spindle pole component 29	LPH3;NIP29
YPL126W	0	1	0	Q02931	NAN1	NET1-associated nuclear protein 1	UTP17
YPL127C	0	0	1	P53551	HHO1	Histone H1	NA
YPL128C	0	1	0	Q02457	TBF1	Protein TBF1	NA
YPL131W	0	1	0	P26321	RPL5	60S ribosomal protein L5	RPL1;RPL1A
YPL134C	1	0	0	Q03028	ODC1	Mitochondrial 2-oxodicarboxylate carrier 1	NA
YPL137C	1	0	0	Q03016	GIP3	GLC7-interacting protein 3	NA
YPL141C	0	0	1	Q03002	FRK1	Fatty acyl-CoA synthetase and RNA processing-associated kinase 1	NA
YPL142C	0	1	0	Q08916	NA	Putative uncharacterized protein YPL142C	NA
YPL143W	0	1	0	P05744	RPL33A	60S ribosomal protein L33-A	RPL37A
YPL145C	1	0	0	P35844	KES1	Oxysterol-binding protein homolog 4	OSH4
YPL146C	0	1	0	Q12080	NOP53	Ribosome biogenesis protein NOP53	NA
YPL148C	0	0	1	Q12036	PPT2	Mitochondrial holo-[acyl-carrier-protein] synthase	NA
YPL151C	1	1	0	Q12417	PRP46	Pre-mRNA-splicing factor PRP46	CWC1;NTC50
YPL153C	1	1	1	P22216	RAD53	Serine/threonine-protein kinase RAD53	MEC2;SAD1;SPK1
YPL155C	1	0	1	P28743	KIP2	Kinesin-like protein KIP2	NA
YPL158C	0	0	1	Q99299	AIM44	Altered inheritance of mitochondria protein 44	NA
YPL160W	0	1	0	P26637	CDC60	Leucine--tRNA ligase, cytoplasmic	NA
YPL162C	0	0	1	Q12042	NA	Vacuolar membrane protein YPL162C	NA
YPL163C	0	0	1	Q12254	SVS1	Protein SVS1 precursor	NA
YPL169C	0	1	0	Q99257	MEX67	mRNA export factor MEX67	NA
YPL175W	0	1	0	P32363	SPT14	Phosphatidylinositol N-acetylglucosaminyltransferase GPI3 subunit	CWH6;GPI3
YPL176C	1	0	0	Q08919	TRE1	Uncharacterized protein TRE1	NA
YPL179W	1	0	0	P32945	PPQ1	Serine/threonine-protein phosphatase PPQ	SAL6
YPL183C	0	0	1	Q08924	RTT10	Regulator of Ty1 transposition protein 10	ERE2;TRM734
YPL190C	1	1	0	P38996	NAB3	Nuclear polyadenylated RNA-binding protein 3	HMD1
YPL193W	1	0	0	Q08932	RSA1	Ribosome assembly 1 protein	NA
YPL203W	1	0	0	P06245	TPK2	cAMP-dependent protein kinase type 2	PKA2;YKR1
YPL204W	0	1	0	P29295	HRR25	Casein kinase I homolog HRR25	NA
YPL207W	1	0	0	Q08960	TYW1	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase	NA
YPL208W	0	0	1	Q08961	RKM1	Ribosomal lysine N-methyltransferase 1 {ECO:0000303|PubMed:16096273}	NA
YPL209C	1	1	0	P38991	IPL1	Spindle assembly checkpoint kinase	NA
YPL210C	0	1	0	P38688	SRP72	Signal recognition particle subunit SRP72	NA
YPL211W	0	1	0	Q08962	NIP7	60S ribosome subunit biogenesis protein NIP7	NA
YPL217C	0	1	0	Q08965	BMS1	Ribosome biogenesis protein BMS1	NA
YPL218W	0	1	0	P20606	SAR1	Small COPII coat GTPase SAR1	NA
YPL220W	1	0	0	P0CX43	RPL1A	60S ribosomal protein L1-A	SSM1;SSM1A
YPL221W	0	0	1	Q08967	FLC1	Flavin carrier protein 1 precursor	BOP1;HUF1
YPL228W	0	1	0	O13297	CET1	mRNA-capping enzyme subunit beta	NA
YPL230W	0	0	1	Q12132	USV1	Nutrient and stress factor 1	NSF1
YPL231W	0	1	0	P19097	FAS2	Fatty acid synthase subunit alpha	NA
YPL232W	1	0	0	P32867	SSO1	Protein SSO1	NA
YPL233W	0	1	0	Q12143	NSL1	Kinetochore-associated protein NSL1	NA
YPL235W	1	1	0	Q12464	RVB2	RuvB-like protein 2	TIH2;TIP49B
YPL237W	0	1	0	P09064	SUI3	Eukaryotic translation initiation factor 2 subunit beta	TIF212
YPL238C	0	1	0	Q99401	NA	Putative uncharacterized protein YPL238C	NA
YPL241C	0	0	1	P46670	CIN2	Tubulin-specific chaperone C	NA
YPL242C	1	1	1	Q12280	IQG1	Ras GTPase-activating-like protein IQG1	CYK1
YPL243W	1	1	0	P38687	SRP68	Signal recognition particle subunit SRP68	NA
YPL245W	1	0	0	Q12179	NA	Uncharacterized protein YPL245W	NA
YPL246C	1	0	0	Q12270	RBD2	Rhomboid protein 2	NA
YPL250C	1	0	0	Q12048	ICY2	Protein ICY2	NA
YPL251W	0	1	0	Q12058	NA	Putative uncharacterized protein YPL251W	NA
YPL252C	0	1	0	Q12184	YAH1	Adrenodoxin homolog, mitochondrial precursor	NA
YPL253C	0	0	1	Q12045	VIK1	Spindle pole body-associated protein VIK1	NA
YPL254W	1	0	0	Q12060	HFI1	Transcriptional coactivator HFI1/ADA1	ADA1;SUP110
YPL255W	1	1	1	Q12365	BBP1	Spindle pole component BBP1	NA
YPL256C	0	0	1	P20438	CLN2	G1/S-specific cyclin CLN2	NA
YPL266W	0	1	0	P41819	DIM1	Dimethyladenosine transferase	NA
YPL267W	0	0	1	Q08981	ACM1	APC/C-CDH1 modulator 1	NA
YPL269W	0	0	1	P32526	KAR9	Karyogamy protein KAR9	NA
YPL279C	1	0	0	Q08991	NA	UPF0695 membrane protein YPL279C	NA
YPR004C	0	0	1	Q12480	AIM45	Probable electron transfer flavoprotein subunit alpha, mitochondrial precursor	NA
YPR010C	0	1	0	P22138	RPA135	DNA-directed RNA polymerase I subunit RPA135	RPA2;RRN2;SRP3
YPR011C	1	0	0	Q12251	NA	Uncharacterized mitochondrial carrier YPR011C	NA
YPR015C	1	0	0	Q12531	NA	Zinc finger protein YPR015C	NA
YPR016C	0	1	0	Q12522	TIF6	Eukaryotic translation initiation factor 6 {ECO:0000255|HAMAP-Rule:MF_03132}	CDC95
YPR018W	0	0	1	Q12495	RLF2	Chromatin assembly factor 1 subunit p90	CAC1
YPR019W	0	1	1	P30665	MCM4	DNA replication licensing factor MCM4	CDC54;HCD21
YPR020W	1	0	0	Q12233	ATP20	ATP synthase subunit g, mitochondrial	NA
YPR021C	1	0	0	Q12482	AGC1	Mitochondrial aspartate-glutamate transporter AGC1	NA
YPR024W	1	0	0	P32795	YME1	Mitochondrial inner membrane i-AAA protease supercomplex subunit YME1	OSD1;YTA11
YPR025C	0	1	0	P37366	CCL1	Cyclin CCL1	NA
YPR032W	1	0	0	Q12038	SRO7	Lethal(2) giant larvae protein homolog SRO7	SNI1;SOP1
YPR033C	0	1	0	P07263	HTS1	Histidine--tRNA ligase, mitochondrial precursor	NA
YPR034W	0	1	0	Q12406	ARP7	Actin-related protein 7	SWP61
YPR035W	0	1	0	P32288	GLN1	Glutamine synthetase	NA
YPR040W	1	0	0	Q12199	TIP41	Type 2A phosphatase activator TIP41	NA
YPR041W	1	1	0	P38431	TIF5	Eukaryotic translation initiation factor 5	NA
YPR048W	0	1	0	Q12181	TAH18	NADPH-dependent diflavin oxidoreductase 1 {ECO:0000255|HAMAP-Rule:MF_03178}	NA
YPR055W	0	1	0	P32855	SEC8	Exocyst complex component SEC8	NA
YPR056W	0	1	0	Q12004	TFB4	RNA polymerase II transcription factor B subunit 4	NA
YPR058W	1	0	0	P32331	YMC1	Carrier protein YMC1, mitochondrial precursor	NA
YPR059C	1	0	0	P0C5E1	NA	Putative uncharacterized protein YPR059C	NA
YPR065W	1	0	0	P25042	ROX1	Repressor ROX1	NA
YPR066W	1	0	0	Q99344	UBA3	NEDD8-activating enzyme E1 catalytic subunit	NA
YPR075C	1	0	1	Q06810	OPY2	Protein OPY2	NA
YPR082C	0	1	0	Q06819	DIB1	Spliceosomal protein DIB1	CDH1;SNU16
YPR085C	0	1	0	Q06822	ASA1	ASTRA-associated protein 1	NA
YPR086W	0	1	0	P29055	SUA7	Transcription initiation factor IIB	NA
YPR088C	0	1	0	P20424	SRP54	Signal recognition particle subunit SRP54	SRH1
YPR094W	0	1	0	Q06835	RDS3	Pre-mRNA-splicing factor RDS3	NA
YPR103W	1	1	0	P30656	PRE2	Proteasome subunit beta type-5 precursor	DOA3;PRG1
YPR104C	0	1	0	P39521	FHL1	Pre-rRNA-processing protein FHL1	NA
YPR105C	0	1	0	Q06096	COG4	Conserved oligomeric Golgi complex subunit 4	COD1;SEC38;SGF1
YPR106W	0	0	1	Q06098	ISR1	Serine/threonine-protein kinase ISR1	NA
YPR107C	1	1	0	Q06102	YTH1	mRNA 3'-end-processing protein YTH1	NA
YPR108W	0	1	0	Q06103	RPN7	26S proteasome regulatory subunit RPN7	NA
YPR110C	0	1	0	P07703	RPC40	DNA-directed RNA polymerases I and III subunit RPAC1 {ECO:0000305}	RPC5 {ECO:0000312|SGD:S000006314}
YPR111W	1	0	1	P32328	DBF20	Serine/threonine-protein kinase DBF20	NA
YPR112C	0	1	1	Q06106	MRD1	Multiple RNA-binding domain-containing protein 1	NA
YPR113W	0	1	0	P06197	PIS1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	PIS
YPR114W	1	0	0	Q06107	NA	Uncharacterized TLC domain-containing protein YPR114W	NA
YPR119W	1	0	1	P24869	CLB2	G2/mitotic-specific cyclin-2	NA
YPR120C	1	0	1	P30283	CLB5	S-phase entry cyclin-5	NA
YPR124W	1	0	0	P49573	CTR1	Copper transport protein CTR1	NA
YPR125W	1	0	0	Q06493	YLH47	LETM1 domain-containing protein YLH47, mitochondrial precursor	MRS7
YPR128C	1	0	0	Q06497	ANT1	Peroxisomal adenine nucleotide transporter 1	NA
YPR129W	1	0	0	P45978	SCD6	Protein SCD6	NA
YPR133C	0	1	0	Q06505	SPN1	Transcription factor SPN1	IWS1
YPR133W-A	1	0	0	P80967	TOM5	Mitochondrial import receptor subunit TOM5	MOM8A
YPR135W	0	0	1	Q01454	CTF4	DNA polymerase alpha-binding protein	CHL15;POB1
YPR136C	0	1	0	O13569	NA	Uncharacterized protein YPR136C	NA
YPR137W	0	1	0	Q06506	RRP9	Ribosomal RNA-processing protein 9	NA
YPR139C	1	0	0	Q06508	LOA1	Lysophosphatidic acid:oleoyl-CoA acyltransferase 1	VPS66
YPR141C	0	0	1	P17119	KAR3	Kinesin-like protein KAR3	NA
YPR142C	0	1	0	O13570	NA	Putative uncharacterized protein YPR142C	NA
