oln_id	uniprot_acc	gene_name	description	synonyms
YIL098C	P40491	FMC1	ATP synthase assembly factor FMC1, mitochondrial precursor	
YLR077W	Q08023	FMP25	Protein FMP25, mitochondrial precursor	
YFL046W	P43557	FMP32	Protein FMP32, mitochondrial precursor	
YMR221C	Q04991	FMP42	Protein FMP42	
YGR052W	P53233	FMP48	Probable serine/threonine-protein kinase FMP48	
YMR020W	P50264	FMS1	Polyamine oxidase FMS1	
YLL029W	Q07825	FRA1	Putative Xaa-Pro aminopeptidase FRA1	
YOR381W	Q08905	FRE3	Ferric reductase transmembrane component 3 precursor	
YLL051C	Q12473	FRE6	Ferric reductase transmembrane component 6 precursor	
YLR047C	Q12209	FRE8	Probable ferric reductase transmembrane component 8	
YKL069W	P36088		Free methionine-R-sulfoxide reductase	
YCR076C	P25659	FUB1	Silencing boundary-establishment protein FUB1 {ECO:0000305|PubMed:22362029}	
YOR183W	Q08559	FYV12	Protein FYV12	
YDR024W	Q99341	FYV1	Putative uncharacterized protein FYV1	
YCL058C	P25585	FYV5	Protein FYV5	
YJL052W	P00360	TDH1	Glyceraldehyde-3-phosphate dehydrogenase 1	GPD1;SSS2
YGR192C	P00359	TDH3	Glyceraldehyde-3-phosphate dehydrogenase 3	GPD3
YLR081W	P13181	GAL2	Galactose transporter	IMP1
YML051W	P04387	GAL80	Galactose/lactose metabolism regulatory protein GAL80	
YHR089C	P28007	GAR1	H/ACA ribonucleoprotein complex subunit 1	
YMR215W	Q03655	GAS3	Probable 1,3-beta-glucanosyltransferase GAS3 precursor	
YIR013C	P40569	GAT4	Protein GAT4	
YGR102C	P53260	GTF1	Glutamyl-tRNA(Gln) amidotransferase subunit F, mitochondrial {ECO:0000255|HAMAP-Rule:MF_03151} precursor	
YOR384W	Q08908	FRE5	Ferric reductase transmembrane component 5 precursor	
YCL026C-A	P37261	FRM2	Fatty acid repression mutant protein 2	
YOR271C	Q12029	FSF1	Probable mitochondrial transport protein FSF1	
YMR222C	Q05015	FSH2	Family of serine hydrolases 2	
YER183C	P40099	FAU1	5-formyltetrahydrofolate cyclo-ligase	
YBL042C	P38196	FUI1	Uridine permease	
YIL097W	P40492	FYV10	Protein FYV10	GID9
YGR196C	P46949	FYV8	Protein FYV8	
YJR009C	P00358	TDH2	Glyceraldehyde-3-phosphate dehydrogenase 2	GPD2
YMR307W	P22146	GAS1	1,3-beta-glucanosyltransferase GAS1 precursor	GGP1
YFL021W	P43574	GAT1	Transcriptional regulatory protein GAT1	
YMR293C	Q03557	HER2	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial {ECO:0000255|HAMAP-Rule:MF_03150}	GEP6;LRC6
YNL199C	Q01722	GCR2	Glycolytic genes transcriptional activator GCR2	
YDL226C	P35197	GCS1	ADP-ribosylation factor GTPase-activating protein GCS1	
YMR113W	Q12676	FOL3	Dihydrofolate synthetase	
YOR241W	Q08645	MET7	Folylpolyglutamate synthase	MET23
YKR009C	Q02207	FOX2	Peroxisomal hydratase-dehydrogenase-epimerase	
YEL047C	P32614	FRD1	Fumarate reductase 1	FRDS;FRDS1
YLR214W	P32791	FRE1	Ferric/cupric reductase transmembrane component 1 {ECO:0000305} precursor	
YNR060W	P53746	FRE4	Ferric reductase transmembrane component 4 precursor	
YAL019W	P31380	FUN30	ATP-dependent helicase FUN30	
YCL027W	P11710	FUS1	Nuclear fusion protein FUS1	
YBR019C	P04397	GAL10	Bifunctional protein GAL10	
YDR009W	P13045	GAL3	Protein GAL3	
YKR039W	P19145	GAP1	General amino-acid permease GAP1	
YCL011C	P25555	GBP2	Single-strand telomeric DNA-binding protein GBP2	RLF6
YGL195W	P33892	GCN1	eIF-2-alpha kinase activator GCN1 {ECO:0000305}	
YAL044C	P39726	GCV3	Glycine cleavage system H protein, mitochondrial precursor	
YPL110C	Q02979	GDE1	Glycerophosphodiester phosphodiesterase GDE1	
YPR184W	Q06625	GDB1	Glycogen debranching enzyme	
YDL135C	Q12434	RDI1	Rho GDP-dissociation inhibitor	
YPL262W	P08417	FUM1	Fumarate hydratase, mitochondrial precursor	
YAL034C	P28003	FUN19	SWIRM domain-containing protein FUN19	
YBR021W	P05316	FUR4	Uracil permease	
YMR232W	Q05670	FUS2	Nuclear fusion protein FUS2	
YGL254W	P32805	FZF1	Zinc finger protein FZF1	SUL1
YOL132W	Q08271	GAS4	1,3-beta-glucanosyltransferase GAS4 precursor	
YLR013W	Q07928	GAT3	Protein GAT3	
YGR267C	P51601	FOL2	GTP cyclohydrolase 1	
YGR252W	Q03330	GCN5	Histone acetyltransferase GCN5	ADA4;SWI9
YOR120W	P14065	GCY1	Glycerol 2-dehydrogenase (NADP(+))	GCY
YOR355W	P41913	GDS1	Protein GDS1	
YEL022W	P39993	GEA2	ARF guanine-nucleotide exchange factor 2	
YGL057C	P53171	GEP7	Genetic interactor of prohibitin 7, mitochondrial precursor	
YCL036W	P25370	GFD2	Good for full DBP5 activity protein 2	
YBL016W	P16892	FUS3	Mitogen-activated protein kinase FUS3	DAC2
YPL248C	P04386	GAL4	Regulatory protein GAL4	
YBR018C	P08431	GAL7	Galactose-1-phosphate uridylyltransferase	
YBL080C	P33893	PET112	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial {ECO:0000255|HAMAP-Rule:MF_03147} precursor	
YFR009W	P43535	GCN20	Protein GCN20 {ECO:0000305}	
YPL075W	P07261	GCR1	Glycolytic genes transcriptional activator GCR1	SIT3
YER136W	P39958	GDI1	Rab GDP-dissociation inhibitor	SEC19
YLR091W	Q12393	GEP5	Genetic interactor of prohibitin 5, mitochondrial	RRG5
YDL100C	Q12154	GET3	ATPase GET3 {ECO:0000255|HAMAP-Rule:MF_03112}	ARR4
YCL039W	P25569	GID7	Glucose-induced degradation protein 7	MOH2
YER054C	P40036	GIP2	GLC7-interacting protein 2	
YML006C	Q04233	GIS4	Protein GIS4	
YBR020W	P04385	GAL1	Galactokinase	
YER027C	Q04739	GAL83	SNF1 protein kinase subunit beta-3	SPM1
YDR019C	P48015	GCV1	Aminomethyltransferase, mitochondrial precursor	
YEL042W	P32621	GDA1	Guanosine-diphosphatase	
YBR187W	P38301	GDT1	GCR1-dependent translation factor 1	
YAL048C	P39722	GEM1	Mitochondrial Rho GTPase 1	
YNL255C	P53849	GIS2	Zinc finger protein GIS2	
YOR212W	P18851	STE4	Guanine nucleotide-binding protein subunit beta	
YEL009C	P03069	GCN4	General control protein GCN4	AAS3;ARG9
YJR031C	P47102	GEA1	ARF guanine-nucleotide exchange factor 1	
YJR040W	P37020	GEF1	Anion/proton exchange transporter GEF1 precursor	CLCY1
YKL104C	P14742	GFA1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	
YPL069C	Q12051	BTS1	Geranylgeranyl pyrophosphate synthase	
YDR309C	Q06648	GIC2	GTPase-interacting component 2	
YBR105C	P38263	VID24	Vacuolar import and degradation protein 24	GID4
YDR507C	Q12263	GIN4	Serine/threonine-protein kinase GIN4	
YAL031C	P39732	GIP4	GLC7-interacting protein 4	FUN21
YDR096W	Q03833	GIS1	Transcriptional activator/repressor GIS1	
YMR136W	P40209	GAT2	Protein GAT2	
YJR086W	P18852	STE18	Guanine nucleotide-binding protein subunit gamma precursor	
YMR116C	P38011	ASC1	Guanine nucleotide-binding protein subunit beta-like protein	CPC2
YGL020C	P53192	GET1	Golgi to ER traffic protein 1 {ECO:0000255|HAMAP-Rule:MF_03113}	MDM39
YOR164C	Q12125	GET4	Golgi to ER traffic protein 4	
YKR106W	P36173	GEX2	Glutathione exchanger 2	
YDR317W	Q06674	HIM1	Protein HIM1	
YLL065W	Q99339		Putative UPF0320 protein YLL065W	
YPL137C	Q03016	GIP3	GLC7-interacting protein 3	
YDR152W	Q03768	GIR2	Protein GIR2	DFRP2
YMR311C	P41818	GLC8	Protein GLC8	
YDL207W	Q12315	GLE1	Nucleoporin GLE1	BRR3;RSS1
YKR058W	P36143	GLG1	Glycogenin-1	
YDR272W	Q05584	GLO2	Hydroxyacylglutathione hydrolase, cytoplasmic isozyme	
YER122C	P38682	GLO3	ADP-ribosylation factor GTPase-activating protein GLO3	
YCL035C	P25373	GRX1	Glutaredoxin-1	
YMR189W	P49095	GCV2	Glycine dehydrogenase (decarboxylating), mitochondrial precursor	GSD2
YDL198C	P38988	GGC1	Mitochondrial GTP/GDP carrier protein 1	SHM1;YHM1
YBR045C	P38229	GIP1	GLC7-interacting protein 1	
YLR094C	Q12418	GIS3	Protein GIS3	
YDR513W	P17695	GRX2	Glutaredoxin-2, mitochondrial precursor	TTR;TTR1
YBR263W	P37292	SHM1	Serine hydroxymethyltransferase, mitochondrial precursor	SHMT1
YOR320C	Q12096	GNT1	Glucose N-acetyltransferase 1	
YDR248C	Q03786		Probable gluconokinase	
YMR255W	Q04839	GFD1	mRNA transport factor GFD1	
YHR061C	P38785	GIC1	GTPase-interacting component 1	
YCR098C	P25346	GIT1	Probable metabolite transport protein GIT1	
YJL137C	P47011	GLG2	Glycogenin-2	
YOR040W	Q12320	GLO4	Hydroxyacylglutathione hydrolase, mitochondrial precursor	GER1
YDL171C	Q12680	GLT1	Glutamate synthase [NADH] precursor	
YDR506C	Q04399	GMC1	Putative multicopper oxidase GMC1	
YHL031C	P38736	GOS1	Golgi SNAP receptor complex member 1	
YMR292W	Q03554	GOT1	Protein transport protein GOT1	
YDL022W	Q00055	GPD1	Glycerol-3-phosphate dehydrogenase [NAD(+)] 1	DAR1;HOR1;OSG1
YOR205C	Q08622	GEP3	Genetic interactor of prohibitins 3, mitochondrial precursor	AIM40;FMP48
YHR100C	P38812	GEP4	Phosphatidylglycerophosphatase GEP4, mitochondrial	
YER083C	P40056	GET2	Golgi to ER traffic protein 2 {ECO:0000255|HAMAP-Rule:MF_03114}	HUR2 {ECO:0000255|HAMAP-Rule:MF_03114};RMD7 {ECO:0000255|HAMAP-Rule:MF_03114}
YCL073C	P25596	GEX1	Glutathione exchanger 1	
YDR358W	Q06336	GGA1	ADP-ribosylation factor-binding protein GGA1	
YHR108W	P38817	GGA2	ADP-ribosylation factor-binding protein GGA2	
YMR135C	P40208	GID8	Glucose-induced degradation protein 8	DCR1
YEL011W	P32775	GLC3	1,4-alpha-glucan-branching enzyme	
YER040W	P18494	GLN3	Nitrogen regulatory protein GLN3	
YPR035W	P32288	GLN1	Glutamine synthetase	
YDR098C	Q03835	GRX3	Monothiol glutaredoxin-3	
YER174C	P32642	GRX4	Monothiol glutaredoxin-4	
YBR229C	P38138	ROT2	Glucosidase 2 subunit alpha precursor	GLS2
YFL017C	P43577	GNA1	Glucosamine 6-phosphate N-acetyltransferase	PAT1
YOR371C	Q08886	GPB1	Guanine nucleotide-binding protein subunit beta 1	KRH2
YGL121C	P53130	GPG1	Heterotrimeric G protein gamma subunit GPG1	
YPL076W	P46961	GPI2	Phosphatidylinositol N-acetylglucosaminyltransferase GPI2 subunit	GCR4
YER107C	P40066	GLE2	Nucleoporin GLE2	RAE1
YHL032C	P32190	GUT1	Glycerol kinase	
YDL010W	Q12438	GRX6	Monothiol glutaredoxin-6 precursor	
YLR058C	P37291	SHM2	Serine hydroxymethyltransferase, cytosolic	SHMT2
YJL184W	P46984	GON7	EKC/KEOPS complex subunit GON7	LDB6;PCC2
YLL031C	Q07830	GPI13	GPI ethanolamine phosphate transferase 3	MPC1
YJL062W	P40367	LAS21	GPI ethanolamine phosphate transferase 2 precursor	GPI7
YDL035C	Q12361	GPR1	G protein-coupled receptor GPR1	
YLR364W	Q05926	GRX8	Glutaredoxin-8	
YDR221W	Q04924	GTB1	Glucosidase 2 subunit beta precursor	
YLR445W	Q06201	GMC2	Grand meiotic recombination cluster protein 2	
YDR508C	P48813	GNP1	High-affinity glutamine permease	
YGL142C	P30777	GPI10	GPI mannosyltransferase 3	
YDR302W	Q06636	GPI11	Glycosylphosphatidylinositol anchor biosynthesis protein 11	
YHR188C	P38875	GPI16	GPI transamidase component GPI16 precursor	
YDR437W	Q04082	GPI19	Phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI19	
YLR243W	Q06543	GPN3	GPN-loop GTPase 3 {ECO:0000303|PubMed:21532343}	
YIL053W	P41277	GPP1	Glycerol-1-phosphate phosphohydrolase 1 {ECO:0000305}	RHR2 {ECO:0000303|PubMed:7500933}
YPL223C	Q08969	GRE1	Protein GRE1	
YOL151W	Q12068	GRE2	NADPH-dependent methylglyoxal reductase GRE2	
YJL034W	P16474	KAR2	78 kDa glucose-regulated protein homolog precursor	GRP78;SSD1
YJL101C	P32477	GSH1	Glutamate--cysteine ligase	
YBR014C	P38068	GRX7	Monothiol glutaredoxin-7 precursor	GRX6
YEL046C	P37303	GLY1	Low specificity L-threonine aldolase	
YNL274C	P53839	GOR1	Glyoxylate reductase 1	
YMR281W	P23797	GPI12	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase	
YNL038W	P53961	GPI15	Phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI15	
YDR434W	Q04080	GPI17	GPI transamidase component GPI17	
YBR004C	P38211	GPI18	GPI mannosyltransferase 2	
YOR262W	Q08726	GPN2	GPN-loop GTPase 2 {ECO:0000303|PubMed:21532343}	
YBR244W	P38143	GPX2	Glutathione peroxidase 2	
YOR232W	P38523	MGE1	GrpE protein homolog, mitochondrial precursor	GRPE;GRPE1;YGE1
YML048W	Q04697	GSF2	Glucose-signaling factor 2	ECM6;EFF2
YOL049W	Q08220	GSH2	Glutathione synthetase	
YOR185C	P32836	GSP2	GTP-binding nuclear protein GSP2/CNR2	CNR2
YML121W	Q00582	GTR1	GTP-binding protein GTR1	
YGR163W	P53290	GTR2	GTP-binding protein GTR2	
YPL059W	Q02784	GRX5	Monothiol glutaredoxin-5, mitochondrial precursor	
YKR030W	P36125	GMH1	Protein GMH1	MSG1
YGL225W	P40107	VRG4	GDP-mannose transporter 1	GOG5;LDB3;MCD3;VAN2;VIG4
YER039C	P0CE11	HVG1	Probable GDP-mannose transporter 2	YEM9
YAL056W	P39717	GPB2	Guanine nucleotide-binding protein subunit beta 2	KRH1
YDR517W	Q04410	GRH1	GRASP65 homolog protein 1	
YLR293C	P32835	GSP1	GTP-binding nuclear protein GSP1/CNR1	CNR1;CST17
YLL060C	Q12390	GTT2	Glutathione S-transferase 2	
YGL084C	P53154	GUP1	Glycerol uptake protein 1	
YJL044C	P32806	GYP6	GTPase-activating protein GYP6	
YFL027C	P43570	GYP8	GTPase-activating protein GYP8	
YPL175W	P32363	SPT14	Phosphatidylinositol N-acetylglucosaminyltransferase GPI3 subunit	CWH6;GPI3
YER062C	P40106	GPP2	Glycerol-1-phosphate phosphohydrolase 2 {ECO:0000305}	HOR2 {ECO:0000303|PubMed:7500933}
YBR243C	P07286	ALG7	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	TUR1
YJR090C	P24814	GRR1	SCF E3 ubiquitin ligase complex F-box protein GRR1	CAT80;COT2
YPL091W	P41921	GLR1	Glutathione reductase	
YIR038C	P40582	GTT1	Glutathione S-transferase 1	
YKR076W	P36156	ECM4	Glutathione S-transferase omega-like 2	GTO2
YGL181W	P40956	GTS1	Protein GTS1	LSR1
YLR289W	P46943	GUF1	Translation factor GUF1, mitochondrial {ECO:0000255|HAMAP-Rule:MF_03137} precursor	
YMR192W	Q04322	GYL1	Probable GTPase-activating protein GYL1	APP2
YOR070C	Q08484	GYP1	GTPase-activating protein GYP1	
YPL249C	Q12344	GYP5	GTPase-activating protein GYP5	
YJL110C	P42944	GZF3	Protein GZF3	
YBR009C	P02309	HHF1	Histone H4	
YNL030W	P02309	HHF2	Histone H4	
YJR013W	P47088	GPI14	GPI mannosyltransferase 1	PMH1
YGR216C	P53306	GPI1	Phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1	
YDR331W	P49018	GPI8	GPI-anchor transamidase precursor	
YJR072C	P47122	NPA3	GPN-loop GTPase 1 {ECO:0000303|PubMed:21532343}	EPA1 {ECO:0000303|PubMed:15082539};GPN1 {ECO:0000303|PubMed:21532343}
YMR251W	Q04806	GTO3	Glutathione S-transferase omega-like 3	
YMR217W	P38625	GUA1	GMP synthase [glutamine-hydrolyzing]	
YDL238C	Q07729	GUD1	Probable guanine deaminase	
YNL293W	P48566	MSB3	GTPase-activating protein GYP3	GYP3
YOL012C	Q12692	HTZ1	Histone H2A.Z	H2AZ;HTA3
YPR005C	Q01766	HAL1	Halotolerance protein HAL1	
YKL109W	P14064	HAP4	Transcriptional activator HAP4	
YMR290C	Q03532	HAS1	ATP-dependent RNA helicase HAS1	
YEL056W	P39984	HAT2	Histone acetyltransferase type B subunit 2	
YER020W	P10823	GPA2	Guanine nucleotide-binding protein alpha-2 subunit	SSP101
YOL059W	P41911	GPD2	Glycerol-3-phosphate dehydrogenase [NAD(+)] 2, mitochondrial precursor	GPD3
YIL155C	P32191	GUT2	Glycerol-3-phosphate dehydrogenase, mitochondrial precursor	
YBL011W	P32784	SCT1	Glycerol-3-phosphate O-acyltransferase 1	GAT2;GPT1
YKR067W	P36148	GPT2	Glycerol-3-phosphate O-acyltransferase 2	GAT1
YIR037W	P40581	HYR1	Peroxiredoxin HYR1	GPX3;ORP1
YHR104W	P38715	GRE3	NADPH-dependent aldose reductase GRE3 {ECO:0000305|PubMed:11525399}	
YPL001W	Q12341	HAT1	Histone acetyltransferase type B catalytic subunit	
YKR084C	P32769	HBS1	Elongation factor 1 alpha-like protein	
YKL026C	P36014	GPX1	Glutathione peroxidase 1	
YLL035W	Q07845	GRC3	Polynucleotide 5'-hydroxyl-kinase GRC3	
YEL017W	P39996	GTT3	Glutathione transferase 3	
YJL091C	P47026	GWT1	GPI-anchored wall transfer protein 1	
YDL234C	P48365	GYP7	GTPase-activating protein GYP7	
YPL127C	P53551	HHO1	Histone H1	
YDR225W	P04911	HTA1	Histone H2A.1	H2A1;SPT11
YBL002W	P02294	HTB2	Histone H2B.2	H2B2
YNL281W	P53834	HCH1	Hsp90 co-chaperone HCH1	
YNL021W	P53973	HDA1	Histone deacetylase HDA1	
YPR179C	Q06623	HDA3	HDA1 complex subunit 3	PLO1
YGL040C	P05373	HEM2	Delta-aminolevulinic acid dehydratase	
YJL103C	P42950	GSM1	Glucose starvation modulator protein 1	
YGR154C	P48239	GTO1	Glutathione S-transferase omega-like 1	
YFR015C	P23337	GSY1	Glycogen [starch] synthase isoform 1	
YLR258W	P27472	GSY2	Glycogen [starch] synthase isoform 2	
YJL165C	P38970	HAL5	Serine/threonine-protein kinase HAL5	
YGL237C	P06774	HAP2	Transcriptional activator HAP2	
YBL021C	P13434	HAP3	Transcriptional activator HAP3	
YCR065W	P25364	HCM1	Forkhead transcription factor HCM1	
YDR232W	P09950	HEM1	5-aminolevulinate synthase, mitochondrial {ECO:0000303|PubMed:6381051} precursor	CYD1
YDL205C	P28789	HEM3	Porphobilinogen deaminase	
YOR227W	Q12276	HER1	HMG2-induced ER-remodeling protein 1	
YGL251C	P51979	HFM1	ATP-dependent DNA helicase MER3	MER3
YFL031W	P41546	HAC1	Transcriptional activator HAC1	ERN4;IRE15;IRE2
YJL097W	P40857	PHS1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase PHS1 {ECO:0000305}	
YCR008W	P25333	SAT4	Serine/threonine-protein kinase HAL4/SAT4	HAL4
YLR256W	P0CE41	HAP1	Heme-responsive zinc finger transcription factor HAP1	CYP1
YKR017C	P36113	HEL1	E3 ubiquitin-protein ligase HEL2 {ECO:0000305|PubMed:22570702}	
YLL022C	Q12373	HIF1	HAT1-interacting factor 1	
YCL030C	P00815	HIS4	Histidine biosynthesis trifunctional protein	
YPL189W	Q08929	GUP2	Glycerol uptake protein 2	
YIL041W	P40531	GVP36	Protein GVP36	
YGR100W	P53258	MDR1	GTPase-activating protein GYP2	GYP2;MIC1
YDR224C	P02293	HTB1	Histone H2B.1	H2B1;SPT12
YPR008W	Q12753	HAA1	Transcriptional activator HAA1	
YOL089C	Q12180	HAL9	Halotolerance protein 9	
YCL026C-B	Q96VH4	HBN1	Putative nitroreductase HBN1	
YKL017C	P34243	HCS1	DNA polymerase alpha-associated DNA helicase A	DIP1
YBL032W	P38199	HEK2	Heterogeneous nuclear rnp K-like protein 2	KHD1
YOR278W	P06174	HEM4	Uroporphyrinogen-III synthase	ORF1
YDR044W	P11353	HEM13	Oxygen-dependent coproporphyrinogen-III oxidase	
YMR110C	Q04458	HFD1	Fatty aldehyde dehydrogenase HFD1	
YOR358W	Q02516	HAP5	Transcriptional activator HAP5	
YDL223C	Q07653	HBT1	Protein HBT1	Crem
YDR295C	Q06629	HDA2	HDA1 complex subunit 2	PLO2
YDR014W-A	Q03937	HED1	Meiosis-specific protein HED1	
YMR207C	P32874	HFA1	Acetyl-CoA carboxylase, mitochondrial precursor	
YER055C	P00498	HIS1	ATP phosphoribosyltransferase	
YDR458C	Q03281	HEH2	Inner nuclear membrane protein HEH2	
YGR191W	P06775	HIP1	Histidine permease	
YIL116W	P07172	HIS5	Histidinol-phosphate aminotransferase	
YER057C	P40037	HMF1	Protein HMF1	HIG1
YDR174W	Q03973	HMO1	High mobility group protein 1	HSM2
YDR036C	P28817	EHD3	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial precursor	MRP5
YOR038C	P32480	HIR2	Protein HIR2	
YJR055W	P46973	HIT1	Protein HIT1	
YMR161W	P48353	HLJ1	Protein HLJ1	
YBR215W	Q01448	HPC2	Histone promoter control protein 2	
YAL028W	P39734	FRT2	Protein HPH2	HPH2
YNL004W	P38922	HRB1	Protein HRB1	TOM34
YDR266C	Q05580	HEL2	E3 ubiquitin-protein ligase HEL2 {ECO:0000305|PubMed:22570702}	
YOR176W	P16622	HEM15	Ferrochelatase, mitochondrial precursor	
YOR237W	P35843	HES1	Protein HES1	OSH5
YPL254W	Q12060	HFI1	Transcriptional coactivator HFI1/ADA1	ADA1;SUP110
YBL008W	P32479	HIR1	Protein HIR1	
YJR140C	P47171	HIR3	Histone transcription regulator 3	HPC1
YCL066W	P0CY07	HMLALPHA1	Silenced mating-type protein ALPHA1	
YML126C	P54839	ERG13	Hydroxymethylglutaryl-CoA synthase	HMGS
YML075C	P12683	HMG1	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1	
YLR450W	P12684	HMG2	3-hydroxy-3-methylglutaryl-coenzyme A reductase 2	
YJR075W	P47124	HOC1	Putative glycosyltransferase HOC1	
YPL204W	P29295	HRR25	Casein kinase I homolog HRR25	
YEL059W	P39982	HHY1	Hypersensitivity to hygromycin-B protein 1	
YOR202W	P06633	HIS3	Imidazoleglycerol-phosphate dehydratase	
YDR420W	P41809	HKR1	Signaling mucin HKR1 precursor	
YDR528W	Q04429	HLR1	Protein HLR1	
YCR097W	P0CY11	HMRA1	Silenced mating-type protein A1	
YJR147W	P47175	HMS2	Probable transcription factor HMS2	
YBR034C	P38074	HMT1	Protein arginine N-methyltransferase 1 {ECO:0000303|PubMed:8647869}	ODP1 {ECO:0000303|PubMed:7896706};RMT1 {ECO:0000303|PubMed:8647869}
YGL077C	P19807	HNM1	Choline transport protein	CTR;CTR1
YDL182W	P48570	LYS20	Homocitrate synthase, cytosolic isozyme	
YKL084W	P36078	HOT13	Helper of Tim protein 13	
YMR172W	Q03213	HOT1	High-osmolarity-induced transcription protein 1	
YEL066W	P39979	HPA3	D-amino-acid N-acetyltransferase HPA3 {ECO:0000303|PubMed:15375647}	
YBR272C	P38348	HSM3	DNA mismatch repair protein HSM3	
YBR169C	P32590	SSE2	Heat shock protein homolog SSE2	HSP
YOL095C	Q12039	HMI1	ATP-dependent DNA helicase HMI1, mitochondrial precursor	
YDR305C	P49775	HNT2	Bis(5'-adenosyl)-triphosphatase	APH1
YNR055C	P53389	HOL1	Protein HOL1	
YIL072W	P20050	HOP1	Meiosis-specific protein HOP1	
YPL116W	Q02959	HOS3	Histone deacetylase HOS3	
YDL131W	Q12122	LYS21	Homocitrate synthase, mitochondrial precursor	
YPR193C	Q06592	HPA2	Histone acetyltransferase HPA2 {ECO:0000303|PubMed:10600387}	
YDR399W	Q04178	HPT1	Hypoxanthine-guanine phosphoribosyltransferase	BRA6
YLR207W	Q05787	HRD3	ERAD-associated E3 ubiquitin-protein ligase component HRD3 precursor	
YOL123W	Q99383	HRP1	Nuclear polyadenylated RNA-binding protein 4	NAB4;NAB5
YLR097C	Q12347	HRT3	F-box protein HRT3	
YGL073W	P10961	HSF1	Heat shock factor protein	
YOR319W	Q99181	HSH49	Protein HSH49	
YKL101W	P34244	HSL1	Probable serine/threonine-protein kinase HSL1	
YPL280W	Q08992	HSP32	Probable glutathione-independent glyoxalase HSP32 {ECO:0000250|UniProtKB:Q04432}	
YOR025W	P53687	HST3	NAD-dependent histone deacetylase HST3	
YGR223C	P50079	HSV2	SVP1-like protein 2	
YNR032C-A	Q6Q546	HUB1	Ubiquitin-like modifier HUB1	
YCR096C	P0CY13	HMRA2	Silenced mating-type protein A2	
YGL033W	P53187	HOP2	Homologous-pairing protein 2	
YGL194C	P53096	HOS2	Probable histone deacetylase HOS2	
YDR138W	P17629	HPR1	THO complex subunit HPR1	
YDR258C	P33416	HSP78	Heat shock protein 78, mitochondrial precursor	
YOR284W	Q12134	HUA2	Protein HUA2	
YFR053C	P04806	HXK1	Hexokinase-1	HKA
YJR158W	P47185	HXT16	Hexose transporter HXT16	
YMR011W	P23585	HXT2	High-affinity glucose transporter HXT2	
YDR345C	P32466	HXT3	Low-affinity glucose transporter HXT3	
YHR096C	P38695	HXT5	Probable glucose transporter HXT5	
YDR342C	P39004	HXT7	High-affinity hexose transporter HXT6	
YJR078W	P47125	BNA2	Indoleamine 2,3-dioxygenase	
YIL020C	P40545	HIS6	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	
YBR248C	P33734	HIS7	Imidazole glycerol phosphate synthase hisHF	
YFR025C	P38635	HIS2	Histidinol-phosphatase	
YCL067C	P0CY09	HMLALPHA2	Silenced mating-type protein ALPHA2	
YOR032C	Q12398	HMS1	Probable transcription factor HMS1	
YLR205C	P32339	HMX1	Heme-binding protein HMX1	
YDL125C	Q04344	HNT1	Hit family protein 1	HIT1
YIL112W	P40480	HOS4	Protein HOS4	
YDL227C	P09932	HO	Homothallic switching endonuclease	
YOL155C	Q05164	HPF1	Haze protective factor 1 precursor	
YOL013C	Q08109	HRD1	ERAD-associated E3 ubiquitin-protein ligase HRD1	DER3
YHL002W	P38753	HSE1	Class E vacuolar protein-sorting machinery protein HSE1	
YOR391C	Q08914	HSP33	Probable glutathione-independent glyoxalase HSP33 {ECO:0000250|UniProtKB:Q04432}	
YJR036C	P40985	HUL4	Probable E3 ubiquitin-protein ligase HUL4	
YGL168W	P45820	HUR1	Putative uncharacterized protein HUR1	
YOL156W	P54862	HXT11	Hexose transporter HXT11	LGT3
YJL077C	P47034	ICS3	Increased copper sensitivity protein 3	
YNL037C	P28834	IDH1	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial precursor	
YMR251W-A	Q05827	HOR7	Protein HOR7 precursor	
YPR068C	Q12214	HOS1	Histone deacetylase HOS1	
YOR324C	Q99332	FRT1	Protein HPH1	HPH1
YIL110W	P40481	HPM1	Histidine protein methyltransferase 1	MNI1
YLR301W	Q05905	HRI1	Protein HRI1	
YOR267C	Q08732	HRK1	Serine/threonine-protein kinase HRK1	
YDR291W	Q05549	HRQ1	ATP-dependent helicase HRQ1 {ECO:0000305}	
YKL138C-A	P69852	HSK3	DASH complex subunit HSK3	
YBR072W	P15992	HSP26	Heat shock protein 26	
YER103W	P22202	SSA4	Heat shock protein SSA4	
YJR045C	P0CS90	SSC1	Heat shock protein SSC1, mitochondrial precursor	ENS1
YPL015C	P53686	HST2	NAD-dependent protein deacetylase HST2	
